"","species","dockside","atsea"
"1","arrowtooth flounder",0.0450503442787447,0.954949655721255
"2","big skate",0.039213305815224,0.960786694184776
"3","bocaccio",0.139267575514568,0.860732424485432
"4","canary rockfish",0.223503837451755,0.776496162548245
"5","dover sole",0.169331249749569,0.830668750250431
"6","english sole",0.148676647507018,0.851323352492982
"7","lingcod",0.437967736570763,0.562032263429237
"8","longnose skate",0,1
"9","longspine thornyhead",0,1
"10","north pacific spiny dogfish",0.24766119934045,0.75233880065955
"11","pacific cod",0.0850688793214635,0.914931120678537
"12","pacific hake",0.383241639113231,0.616758360886769
"13","pacific halibut",0,1
"14","pacific ocean perch",0.104837004345187,0.895162995654813
"15","petrale sole",0.239250514459006,0.760749485540994
"16","quillback rockfish",0.535638859556494,0.464361140443506
"17","redbanded rockfish",0.46875,0.53125
"18","redstripe rockfish",0.105319660904009,0.894680339095991
"19","rougheye/blackspotted rockfish complex",0.392781216043842,0.607218783956158
"20","sablefish",0.00167518395216184,0.998324816047838
"21","shortraker rockfish",0.983498349834984,0.0165016501650165
"22","shortspine thornyhead",0.00746940920351325,0.992530590796487
"23","silvergray rockfish",0.211624693991323,0.788375306008677
"24","southern rock sole",0.155715475453245,0.844284524546755
"25","walleye pollock",0.360909772556861,0.639090227443139
"26","widow rockfish",0.126859487827013,0.873140512172987
"27","yelloweye rockfish",0.686511191843431,0.313488808156569
"28","yellowmouth rockfish",0.187963587322994,0.812036412677006
"29","yellowtail rockfish",0.166264041550912,0.833735958449088
